id,title,revenue,vote_average,imdb_id,original_title,overview,popularity,poster_path,genres,keywords
928480,Monster Summer,0,6.5,tt3954936,Monster Summer,"When a mysterious force begins to disrupt their big summer fun, Noah and his friends team up with a retired police detective to embark on a monstrous adventure to save their island.",19.915,/zD2UZkh0DwbDEMuOKIR7jgwgulZ.jpg,"Adventure, Fantasy, Mystery, Horror","friendship, detective, summer"
870360,The Day the Earth Blew Up: A Looney Tunes Movie,423628,7.7,tt15352542,The Day the Earth Blew Up: A Looney Tunes Movie,"Porky and Daffy, the classic animated odd couple, turn into unlikely heroes when their antics at the local bubble gum factory uncover a secret alien mind control plot. Against all odds, the two are determined to save their town (and the world!)...that is if they don't drive each other crazy in the process.",19.879,/s2lB1kaYCdGSnZX5meQCiOR6HfX.jpg,"Animation, Comedy, Science Fiction","musical, buddy comedy"
1038263,Maria,504938,6.533,tt22893404,Maria,"Maria Callas, the world's greatest opera singer, lives the last days of her life in 1970s Paris, as she confronts her identity and life.",11.899,/3oQRG0bwPUqE4N4n8z2kAzr7e40.jpg,"Drama, Music","opera, paris, france, 1970s, surrealism, biography, female protagonist, period drama, opera singer"
636279,Bogotá: City of the Lost,0,7.1,tt22507374,보고타: 마지막 기회의 땅,"After moving to Bogotá for a chance at a better life, a young Korean man rises through the Colombian black market — risking peril for a shot at success.",11.83,/p1WPGGPVHHVJwTjmUaCsbTNATgn.jpg,"Thriller, Crime, Drama","bogotá, 1990s, colombia, bogota, colombia, suspense, foreign country, legal immigrant"
856289,Creation of the Gods I: Kingdom of Storms,369081777,7.077,tt6979756,封神第一部：朝歌风云,"Based on the most well-known classical fantasy novel of China, Fengshenyanyi, the trilogy is a magnificent eastern high fantasy epic that recreates the prolonged mythical wars between humans, immortals and monsters, which happened more than three thousand years ago.",11.825,/n3Vy8oJEGqvaFurE7e7QJbF4mGs.jpg,"Action, Fantasy, War","monster, based on novel or book, mythological beast, high fantasy, physical immortality, chinese mythology"
1160018,Kill,5600000,7.1,tt28259207,किल,"When an army commando finds out his true love is engaged against her will, he boards a New Dehli-bound train in a daring quest to derail the arranged marriage. But when a gang of knife-wielding thieves begin to terrorize innocent passengers on his train, the commando takes them on, one by one.",11.811,/m2zXTuNPkywdYLyWlVyJZW2QOJH.jpg,"Action, Crime, Thriller, Drama","train, one man army, relationship, train robbery, aggressive, action hero, high octane, bollywood"
869291,Cuckoo,6680396,5.8,tt12349832,Cuckoo,"After reluctantly moving to the German Alps with her father and his new family, Gretchen discovers that their new town hides sinister secrets, as she's plagued by strange noises and frightening visions of a woman pursuing her.",11.776,/4bGP5cnSZbfBJfIidZNSEIKnav7.jpg,"Horror, Mystery, Thriller","germany, stepmother, grief, time loop, female protagonist, dead mother, shriekers, sign languages, seizure, half sister, trippy, mountain resort, lesbian, brooding, mute character, ambiguous, commanding, german alps"
269509,The Canterville Ghost,2000000,6.653,tt2403439,The Canterville Ghost,"An American family moves in to the Canterville Chase, a London mansion that has been haunted by ghost Sir Simon De Canterville for 300 years.",11.71,/dFu8oHN805ZRzpQZNOjkiLzMbep.jpg,"Animation, Comedy, Family, Fantasy","based on novel or book, halloween, family, ghost, halloween costume, eccentric family, animation, cinema"
937287,Challengers,94182533,7.0,tt16426418,Challengers,"Tennis player turned coach Tashi has taken her husband, Art, and transformed him into a world-famous Major champion. To jolt him out of his recent losing streak, she signs him up for a ""Challenger"" event — close to the lowest level of pro tournament — where he finds himself standing across the net from his former best friend and Tashi's former boyfriend.",11.627,/H6vke7zGiuLsz4v4RPeReb9rsv.jpg,"Romance, Drama","infidelity, husband wife relationship, love triangle, sports, tennis, competition, eroticism, atlanta, tennis player, male friendship, rivalry, interracial marriage, tennis court, ex-boyfriend ex-girlfriend relationship, knee injury, new rochelle, new york, aggressive, prodigy, tennis pro, 2000s, codependency, 2010s, gay theme, female coach, psychosexual, sports drama, power dynamics, tense, ambiguous, disgusted"
970347,The Killer,318618,6.4,tt1121948,The Killer,"Zee is a feared contract killer known as ""the Queen of the Dead,"" but when she refuses to murder a young blind woman, she finds herself hunted both by criminal colleagues and a determined police detective.",11.467,/6PCnxKZZIVRanWb710pNpYVkCSw.jpg,"Action, Thriller, Crime",
1101448,Unstoppable,0,4.8,tt3864060,Unstoppable,"With the unwavering love and support of his devoted mother Judy and the encouragement of his coaches, Anthony Robles fights through adversity to earn a spot on the Arizona State Wrestling team. But it will demand everything he has, physically and mentally, to achieve his ultimate quest to become an NCAA Champion.",11.402,/xanYKxuFkDPrMngvm1NSHVGOEjS.jpg,"Drama, History",wrestling
